"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Feb 2018)","11","85","","96","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","22.3%","47.8%","Info not available","6.6%","0.6%","12.9%","28.6%","","","","","","","","Qualicum Beach, BC V9K 2T8","","6","","5","General Manager","Separate Resident and Family","English, French, German","","23 Nov 2016","The Gardens at Qualicum Beach","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","1.0","1","1.5","4.2","4","0.7","2.1","2","11.9","8.3","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2006","Retirement Concepts","Yes","(250) 752-2818","(250) 738-2250","","Follow-up","Community Care andAssisted Living Act","0","86","5","Clothing labelling fee","No","No","No","650 Berwick Road North","3.11","Yes (no fee)"
"Commendation","Yes (2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","49.6%","70.4%","8.7%","20.4%","81.6%","14.0%","43.6%","","","","","","","","Vernon, BC V1T 8V8","","17","","7","Residential Care Coordinator","Combined Resident and Family Council","English","","31 Oct 2016","The Gateby","Primarily","Operator","0.35","2.89","Interior Health","1.0","1.3","1","1.5","1.3","1","0.7","6.7","5","11.9","22.7","17","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","4.0","3","","Regular Schedule","1983","Interior Health","Yes","(250) 545-4456","(250) 545-4456","","Monitoring","Community Care and Assisted Living Act","0","75","0"," ","No","No","No","3000 Gateby Place","3.24","Yes (no fee)"
"Accredited","Yes (Oct 2016)","16","77","","93","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.2%","49.5%","30.3%","Info not available","36.1%","9.8%","35.7%","","","","","","","","Penticton, BC V2A 8J7","","2","","0","Director of Operations / Director of Care","Separate and Combined Resident and Family Councils","English, French, Japanese, Filipino, Hindi, Punjabi, Spanish, German, Cantonese, Mandarin","","06 Jan 2016","The Hamlets at Penticton","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2008","HandH Total Care Services Inc.","Yes","(250) 490-8503","250-490-8503 ext 125 (DOO) or ext 105 (DOC)","","Monitoring","Community Care and Assisted Living Act","0","94","2"," ","No","No","No","103 Duncan Ave West","3.15","Yes (no fee)"
"Accredited","Yes (2017)","14","98","","112","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.3%","59.5%","Info not available","17.9%","32.5%","3.6%","39.3%","","","","","","","","Kamloops, BC V2B 0A5","","6","","3","Director of Care and Director of Operations","Separate Resident and Family","English and Punjabi","","31 Aug 2016","The Hamlets at Westsyde","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2007","HandH Total Care Services Inc.","Yes","(250) 579-9061","(250) 579-9061 ext 104 (DOC) or ext 107 (DOO)","","Monitoring","Community Care and Assisted Living Act","0","112","0"," ","No","Info not available","No","3255 Overlander Drive","3.15","Yes (no fee)"
"N/A","No","0","260","","260","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","30.6%","53.8%","4.2%","4.6%","18.0%","0.8%","18.8%","","","","","","","","Saanich, BC V8Z 4C4","","38","","14","Residential Care Administrator","Family only","Many","","01 Dec 2016","The Heights at Mount View","Yes","Outside Contractor","Info not available","Info not available","Vancouver Island","1.0","1.9","5","1.5","6.9","18","0.7","0.4","1","11.9","22.3","58","0.1","0.0","0","0.2","0.8","2","1.6","6.5","17","1.6","0.0","0","","Regular Schedule","2014","Baptist Housing Care Homes Society","Yes","(250) 384-1313","(250) 384-1313 ext 108","","Follow-up","Community Care andAssisted Living Act","0","260","0","Clothing labelling fee","No","Yes","No","3814 Carey Road","3.06","Yes (fee charged)"
"Commendation","Yes (Mar 2017)","6","116","","122","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.5%","60.8%","0.2%","22.5%","4.8%","Info not available","13.7%","","","","","","","","Victoria, BC V8T 3J3","","11","","1","Director of Resident Services","Family only but residents are welcome","English, German, Spanish, Polish, Tagalog, French, Croatian, Korean, Cantonese, Mandarin, Hindi","","19 May 2016","The Kiwanis Pavilion","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","4.9","6","0.7","0.8","1","11.9","18.9","23","0.1","0.0","0","0.2","0.0","0","1.6","1.6","2","1.6","0.0","0","","Regular Schedule","1982","Oak Bay Kiwanis Health Care Society","Yes","(250) 598-2022","(250) 598-2022 ext 222","","Follow-up","Community Care and Assisted Living Act","0","122","0","Dental hygiene and trust account admin fee","No","Yes","No","3034 Cedar Hill Road","3.27","Yes (no fee)"
"N/A","No","0","89","","89","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.0%","44.3%","1.9%","6.0%","0.3%","14.6%","14.3%","","","","","","","","Ladysmith, BC V9G 1A6","","3","","3","Site Leader / Director of Care","Separate Resident and Family","English","","18 Apr 2016","The Lodge on 4th","Yes","Outside Contractor","Info not available","Info not available","Vancouver Island","1.0","1.1","1","1.5","0.0","0","0.7","0.0","0","11.9","16.9","15","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","0.0","0","","Regular Schedule","2007","Park Place Seniors Living Inc.","Yes","(250) 245-4243","(250) 245-3318 ext 101 / (250) 245-3318 ext 200","","Complaint","Community Care and Assisted Living Act","0","87","2"," ","No","No","No","1127 4th Ave","3.21","Yes (no fee)"
"N/A","No","30","54","","84","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Info not available","Info not available","Info not available","Info not available","Info not available","Info not available","Info not available","","","","","","","","Abbotsford, BC V2S 1K8","","3","","0","Director of Care/Manager","Combined Resident and Family Council","English, Tagalog, German, Punjabi","","16 Aug 2016","The Mayfair","Yes","Operator","0.30","2.49","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","6.0","5","0.1","0.0","0","0.2","0.0","0","1.6","3.6","3","1.6","0.0","0","","Info not available","July 2015","Sherwood Crescent Manor Ltd.","Yes","604-855-7217","(604) 855-7217 ext 102","","Follow-up","Community Care and Assisted Living Act","0","80","2"," ","N/A","N/A","N/A","33433 Marshall Road","2.79","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","36","","36","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.5%","43.9%","Info not available","Info not available","29.7%","2.3%","24.8%","","","","","","","","Burns Lake, BC V0J 1E0","","Info not available","","Info not available","Residential Care Team Lead","Separate Resident and Family","English, French, Carrier, Low German, Mandarin","","04 Apr 2012","The Pines","No","Operator","Info not available","2.82","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","2.8","1","0.1","0.0","0","0.2","0.0","0","1.6","2.8","1","1.6","0.0","0","","Regular Schedule","1992","Northern Health","Yes","(250) 692-2490","(250) 692-2494","","Routine","Hospital Act","0","26","5"," ","No","No","No","800 Centre St.","3.01","Yes (no fee)"
"Accredited","Yes (2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","44.6%","60.7%","16.1%","0.3%","63.7%","Info not available","31.0%","","","","","","","","Langford, BC V9B 2W4","Info not available","","Info not available","","Manager","Combined Resident and Family Council","English, Mandarin, Punjabi, Portuguese, Filipino, French","18 Feb 2016","","The Priory – Heritage Woods","Yes","Outside Contractor","0.22","3.04","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","2","Regular Schedule","1999","Vancouver Island Health","Yes","(250) 370-5790","(250) 370-5790","Routine","","Hospital Act","0","75","0","Drugs not otherwise services, some transportation","No","No","No","567 Goldstream Ave.","3.26","Yes (fee charged)"
"Accredited","Yes (2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","28.0%","49.9%","4.1%","9.4%","75.4%","1.4%","20.5%","","","","","","","","Langford, BC V9B 2W4","Info not available","","Info not available","","Manager","Combined Resident and Family Council","English, Mandarin, Punjabi, Portuguese, Filipino, French","18 Feb 2016","","The Priory – Hiscock","Yes","Outside Contractor","0.22","3.04","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Regular Schedule","1979","Vancouver Island Health","Yes","(250) 370-5790","(250) 370-5790","Routine","","Hospital Act","14","7","6","Drugs not otherwise services, some transportation","No","No","No","567 Goldstream Ave.","3.26","Yes (fee charged)"
"N/A","No","3","84","","87","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","13.2%","44.2%","0.6%","2.0%","7.4%","1.9%","24.4%","","","","","","","","Surrey, BC V4N 6L9","","0","","0","Director of Care","Resident Only","English, German, Fijian, Hindi, Punjabi, Tagalog, Vietnamese, Mandarin, Cantonese","","08 Jul 2016","The Residence at Clayton Heights","Yes","Outside Contractor","0.23","2.96","Fraser Health","1.0","0.0","0","1.5","1.2","1","0.7","0.0","0","11.9","21.2","18","0.1","0.0","0","0.2","0.0","0","1.6","1.2","1","1.6","0.0","0","","Regular Schedule","2012","Clayton Heights Care Holdings Ltd.","Yes","(604) 576-2273","(604) 576-2273 ext 102","","Routine","Community Care and Assisted Living Act","0","87","0"," ","No","No","No","18788 71st Avenue","3.19","Yes (no fee)"
"N/A","No","26","90","","116","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","8.4%","36.5%","0.5%","1.4%","8.4%","4.0%","35.8%","","","","","","","","Surrey, BC V3S 3S3","","0","","0","Director of Care / Administrator","Family only","English, Punjabi, Italian, Tagalog","","06 Apr 2016","The Residence at Morgan Heights","Yes","Operator","0.22","2.80","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","11.2","13","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2009","Morgan Heights Care","No","(604) 535-1118","(604) 535-1118","","Routine","Community Care and Assisted Living Act","0","108","4"," ","No","No","No","15955 27th Avenue","3.02","Yes (no fee)"
"Accredited","Yes (2018)","0","200","","200","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.8%","46.1%","2.8%","17.4%","41.3%","1.9%","35.2%","","","","","","","","Mission, BC V2V 3H5","","0","","0","Manager","Separate Resident and Family","English, Spanish, Austrian, German, Dutch, Punjabi, Hindi","","20 Apr 2016","The Residence in Mission","Yes","Operator","0.33","3.15","Fraser Health","1.0","3.5","7","1.5","0.5","1","0.7","2.0","4","11.9","9.5","19","0.1","0.0","0","0.2","1.0","2","1.6","0.0","0","1.6","1.5","3","","Regular Schedule","2014","Fraser Health","Yes","(604) 814-6707","(604) 814-6707","","Follow-up","Community Care and Assisted Living Act","0","190","5"," ","No","No","No","7324 Hurd Street","3.48","Yes (no fee)"
"Exemplary","Yes (May 2018)","0","117","","117","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.2%","50.6%","7.8%","9.7%","Info not available","10.1%","27.2%","","","","","","","","Comox, BC V9M 1P2","Info not available","","Info not available","","Executive Director","Separate Resident and Family","English, French, Tagalog, Spanish","18 Aug 2016","","The Views – St. Joseph’s General Hospital","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","0","Regular Schedule","1982","St. Joseph's General Hospital","No","(250) 339-1409","(250) 339-1516","Follow-up","","Hospital Act","13","23","21"," ","No","No","No","2137 Comox Avenue","3.11","Yes (fee charged)"
"Commendation","Yes (Oct 2017)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","22.3%","44.4%","6.9%","0.9%","0.3%","1.8%","33.2%","","","","","","","","Vancouver, BC V5M 2Y4","","Info not available","","Info not available","Director of Care","Separate Resident and Family","English, Italian, Punjabi, Tagalog, Hindi, Bulgarian, French, Cantonese, Polish","","01 Sep 2016","Three Links Care Centre","Yes","Operator","0.33","2.51","Vancouver Coastal","1.0","1.1","1","1.5","1.1","1","0.7","1.1","1","11.9","11.1","10","0.1","1.1","1","0.2","0.0","0","1.6","2.2","2","1.6","2.2","2","","Regular Schedule","1981","Three Links Care Society","Yes","(604) 434-7211","(778) 452-6503","","Routine","Community Care and Assisted Living Act","0","90","0","Clothing labelling fee","No","No","No","2934 East 22nd Ave","2.84","Yes (no fee)"
"Accredited","Yes (2018)","0","82","","82","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.6%","54.0%","24.9%","0.9%","29.5%","2.9%","42.5%","","","","","","","","Kelowna, BC V1Y 8P4","","0","","0","Manager","Separate and Combined Resident and Family Councils","Spanish, German, Filipino, Punjabi, Polish, Russian","","27 Sep 2016","Three Links Manor","Yes","Operator","0.36","2.80","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","13.4","11","0.1","0.0","0","0.2","0.0","0","1.6","3.7","3","1.6","3.7","3","","Regular Schedule","1983","Interior Health","Yes","(250) 763-2585","(250) 712-6956","","Monitoring","Community Care and Assisted Living Act","0","82","0"," ","No","No","No","1449 Kelglen Cres","3.16","Yes (no fee)"
"Info not available","Yes (2018)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.7%","57.7%","24.0%","7.8%","16.5%","21.1%","29.0%","","","","","","","","Parksville, BC V9P 1M9","","1","","0","Manager or Clinical Nurse Lead","Separate Resident and Family","Info not available","","19 Sep 2016","Trillium Lodge","Yes","Operator","0.36","2.85","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","3.3","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1982","Vancouver Island Health","Yes","(250) 947-8230","(250) 947-8230 ext 39069 / (250) 947-8230 ext 39052","","Follow-up","Hospital Act and Community Care and Assisted Living Act","9","58","3","Clothing labelling fee","No","No","No","401 Moilliet St","3.21","Yes (no fee)"
"Commendation","Yes (Oct 2019)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","12.9%","44.8%","0.3%","8.6%","5.7%","4.5%","23.7%","","","","","","","","Penticton, BC V2A 7N6","","1","","0","Manager / Director of Care","Separate Resident and Family","English, French, Punjabi, Spanish","","22 Jun 2016","Trinity Care Centre","Yes","Operator and Outside Contractor","0.36","2.80","Interior Health","1.0","2.7","2","1.5","0.0","0","0.7","2.7","2","11.9","8.0","6","0.1","0.0","0","0.2","0.0","0","1.6","2.7","2","1.6","1.3","1","","Regular Schedule","1983","Interior Health","Yes","(250) 493-6601","(250) 493-6601","","Monitoring","Community Care and Assisted Living Act","0","75","0"," ","No","Yes","No","75 Green Ave. West","3.16","Yes (no fee)"
"Primer","Yes (Feb 2018)","1","30","","31","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.3%","28.6%","Info not available","Info not available","Info not available","1.9%","16.3%","","","","","","","","Port Alberni, BC V9Y 7W3","Info not available","","Info not available","","Site Manager","Resident Council","English","10 May 2016","","Tsawaayuus – Rainbow Gardens","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","0","Regular Schedule","1982","West Coast Native Health Care Society","Yes","(250) 724-5655","(250) 724-5655","Routine","","Hospital Act","0","31","0"," ","No","No","No","6151 Russell Place","3.21","Yes (no fee)"
"N/A","No","4","22","","26","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","3.3%","63.5%","Info not available","10.2%","76.7%","33.0%","35.5%","","","","","","","","Abbotsford, BC V4X 1Y5","","0","","0","Executive Director","Separate Resident and Family","English, Thai, German, Punjabi","","03 Aug 2016","Valhaven Rest Home","Yes","Operator","0.29","2.32","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","11.5","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","7.7","2","","Regular Schedule","Info not available","Tabor Village","Yes","(604) 856-2812","(604) 856-2812 ext 102","","Routine","Community Care and Assisted Living Act","0","26","0","Clothing labelling fee","No","No","Yes","4212 Balmoral St","2.61","Yes (no fee)"
"Commendation","Yes (2017)","11","80","","91","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.9%","51.9%","Info not available","9.9%","75.2%","16.0%","26.7%","","","","","","","","Chilliwack, BC V2P 1M2","","4","","1","Director of Care","Separate and Combined Resident and Family Councils","English, German, Punjabi, Hindi","","24 Jun 2016","Valleyhaven","Yes","Operator","0.29","2.51","Fraser Health","1.0","0.0","0","1.5","1.1","1","0.7","1.1","1","11.9","23.7","22","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.1","1","","Regular Schedule","2009","Valleyhaven Retirement Communities Ltd.","Yes","(604) 792-0037","(604) 792-0037 ext 102","","Routine","Community Care and Assisted Living Act","0","83","3"," ","No","No","No","45450 Menholm Rd.","2.81","Yes (no fee)"
"Commendation","Yes (Sep 2020)","0","225","","225","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.8%","44.5%","0.1%","3.3%","Info not available","1.4%","4.8%","","","","","","","","Saanich, BC V8X 4Y7","Info not available","","Info not available","","Director of Clinical Programs","Family only","English, Arabic, Cantonese, Mandarin, Croatian, Czech, Punjabi, Hindi, Tagalog, Japanese, Korean, French, Portuguese, Polish, Spanish, Ukrainian, Somali","11 Feb 2016","","Veterans Memorial Lodge at Broadmead","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","20","Regular Schedule","1995","Broadmead Care Society","Yes","(250) 658-0311","(250) 658-3239","Follow-up","","Hospital Act","0","201","12","Program enhancement and one time labeling fee","No","No","No","4579 Chatterton Way","3.24","Yes (no fee)"
"Info not available","Yes (Nov 2018)","0","31","","31","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.0%","47.6%","Info not available","Info not available","41.5%","2.2%","10.9%","","","","","","","","Victoria, BC V8W 1S5","","3","","1","Administrator / Director of Care","Combined Resident and Family","English, Cantonese, Mandarin, Tagalog","","25 Jul 2016","Victoria Chinatown Care Centre","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","35.5","11","0.1","0.0","0","0.2","0.0","0","1.6","6.5","2","1.6","0.0","0","","Regular Schedule","1982","Victoria Chinatown Care Society","Yes","(250) 381-4322","(250) 381-4322","","Follow-up","Community Care and Assisted Living Act","0","29","1"," ","No","No","No","555 Herald Street","3.12","No (street parking available)"
"Commendation","Yes (Jun 2017)","0","108","","108","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","29.7%","65.6%","Info not available","0.7%","Info not available","23.9%","43.4%","","","","","","","","Esquimalt, BC V9A 4G7","","19","","2","Director of Care","Separate Resident and Family","English, Spanish, Russian, Cantonese","","31 Aug 2016","Victoria Sunset Lodge","Yes","Outside Contractor","Info not available","Info not available","Vancouver Island","1.0","0.9","1","1.5","3.7","4","0.7","0.0","0","11.9","13.9","15","0.1","0.0","0","0.2","1.9","2","1.6","1.9","2","1.6","0.0","0","","Regular Schedule","1979","Governing Council of the Salvation Army in Canada","Yes","(250) 385-3422","(250) 385-3422 ext 237","","Follow-up","Community Care and Assisted Living Act","0","108","0"," ","No","No","No","952 Arm Street","3.11","Yes (no fee)"
